Cenario,Band,RTT,Sent,Retrans,Lost,Time
83,3.354,0.0970,14201,505,2,51.235
84,3.420,0.0859,14201,554,2,50.250
85,3.448,0.0828,14201,578,2,49.838
86,3.557,0.0756,14200,472,2,48.314
87,3.627,0.0899,14201,591,2,47.380
88,3.674,0.0955,14201,582,2,46.773
89,3.787,0.0845,14200,553,2,45.378
90,3.814,0.0792,14201,501,2,45.059
91,3.893,0.0982,14201,587,2,44.145
92,4.114,0.1035,14201,591,2,41.773
93,4.376,0.0818,14201,571,2,39.272
94,4.456,0.0908,14200,551,2,38.567
95,4.498,0.0911,14201,576,2,38.207
96,4.545,0.11553,14201,511,2,37.815
97,4.675,0.0875,14200,509,2,36.759
98,4.744,0.9072,14201,575,2,36.226
99,4.793,0.0854,14201,580,2,35.859
100,4.817,0.11330,14201,581,2,35.678
101,4.822,0.8450,14201,580,2,35.643
102,4.828,0.0902,14201,583,2,35.595
103,4.874,0.10015,14201,584,2,35.262
104,4.961,0.0968,14200,548,2,34.643
105,0.465,0.10990,14202,1043,4,369.497
106,0.578,0.1015,14201,950,4,297.359
107,0.773,0.0882,14201,1246,4,222.273
108,0.879,0.8524,14202,1073,4,195.471
109,0.961,0.0896,14201,1009,4,178.800
110,0.990,0.8991,14201,1092,4,173.556
111,1.154,0.0890,14201,1271,4,148.892
112,1.160,0.0912,14202,1269,4,148.121
113,1.229,0.1027,14201,1263,4,139.807
114,1.619,0.0968,14202,974,4,106.132
115,1.677,0.0958,14202,1066,4,102.460
116,1.697,0.0787,14201,1067,4,107.856
117,1.721,0.0915,14201,1064,4,99.850
118,1.922,0.0839,14201,1021,3,89.402
119,2.088,0.0956,14202,999,3,82.293
120,2.243,0.0860,14201,701,3,76.615
121,2.272,0.1001,14203,958,3,75.637
122,2.274,0.0951,14202,815,3,75.568
123,2.480,0.0961,14200,906,3,69.294
124,2.584,0.0838,14201,909,3,66.499
125,2.598,0.8835,14201,889,3,66.144
126,2.653,0.0970,14201,880,3,64.772
127,2.675,0.1022,14202,813,3,64.238
128,2.774,0.0897,14201,832,3,61.945
129,2.984,0.0887,14200,685,3,59.789
